raceId,driverId,milliseconds
841,1,23213.0
841,2,24046.0
841,3,23716.0
841,4,24055.0
841,5,24865.0
841,10,23792.0
841,13,24145.666666666668
841,15,24873.5
841,16,24924.5
841,17,24058.666666666668
841,18,20950.333333333332
841,20,23319.5
841,22,26175.0
841,30,24504.5
841,67,24221.0
841,153,25903.0
841,155,24128.0
841,808,25109.0
841,814,24597.5
841,815,23438.0
841,816,25852.5
842,1,23252.75
842,2,23241.0
842,3,23356.666666666668
842,4,24510.0
842,5,26210.0
842,10,24523.0
842,13,24886.0
842,15,25516.0
842,16,25430.0
842,17,22198.25
842,18,22451.333333333332
842,20,22408.333333333332
842,22,28740.0
842,24,31064.0
842,30,22354.666666666668
842,67,26854.0
842,153,23236.0
842,155,23361.0
842,808,24852.0
842,814,23056.333333333332
842,815,23597.0
842,816,25334.0
843,1,20659.333333333332
843,2,22018.5
843,3,21165.333333333332
843,4,21887.5
843,5,22187.5
843,10,26139.333333333332
843,13,21396.0
843,15,22644.5
843,16,23585.0
843,17,21888.333333333332
843,18,21924.666666666668
843,20,21764.0
843,22,21595.0
843,24,20708.666666666668
843,30,21295.333333333332
843,39,26049.0
843,67,22886.666666666668
843,153,22419.0
843,155,21895.5
843,808,21993.0
843,813,24280.666666666668
843,814,21603.5
843,815,21903.75
843,816,22851.5
844,1,24909.25
844,2,21743.75
844,3,21189.25
844,4,21530.25
844,5,22533.666666666668
844,13,23375.0
844,15,22715.666666666668
844,16,21246.333333333332
844,17,21100.25
844,18,21808.0
844,20,20402.25
844,22,22424.0
844,24,37493.25
844,30,23016.25
844,39,25596.333333333332
844,67,21976.333333333332
844,153,22114.0
844,155,22577.0
844,808,21561.25
844,813,20547.0
844,814,20998.75
844,815,24061.25
844,816,23808.0
845,1,20364.25
845,2,21357.0
845,3,20192.0
845,4,20480.75
845,5,21631.333333333332
845,10,21848.666666666668
845,13,21618.0
845,15,22362.666666666668
845,16,21423.333333333332
845,17,20305.75
845,18,20295.0
845,20,20214.5
845,22,23112.25
845,24,23157.0
845,30,20340.666666666668
845,39,24529.666666666668
845,67,22127.333333333332
845,153,21443.75
845,155,22166.333333333332
845,808,22609.0
845,813,22790.25
845,814,20256.333333333332
845,815,22188.0
845,816,22622.0
846,1,25923.0
846,2,26066.0
846,3,25205.0
846,4,28367.0
846,5,26177.5
846,10,26827.0
846,13,26615.0
846,15,25830.0
846,16,26458.0
846,17,32002.0
846,18,25457.0
846,20,28536.0
846,22,25798.0
846,24,28298.0
846,30,35084.0
846,39,34121.0
846,67,25559.0
846,153,26728.5
846,155,28642.0
846,808,28856.0
846,813,26077.5
846,814,30518.666666666668
846,816,27020.5
847,2,23238.5
847,3,22882.0
847,4,25456.666666666668
847,5,44037.0
847,10,24752.0
847,13,24633.5
847,15,33385.333333333336
847,16,23497.25
847,17,24906.0
847,18,23511.166666666668
847,20,23118.666666666668
847,22,24028.5
847,24,31792.333333333332
847,30,23592.25
847,37,27163.5
847,39,29327.5
847,67,24782.25
847,153,24748.666666666668
847,155,24152.5
847,808,23980.5
847,813,25501.6
847,814,22194.0
847,816,24909.4
848,1,20529.0
848,2,21957.0
848,3,21832.333333333332
848,4,20721.333333333332
848,5,22333.0
848,10,21965.0
848,13,22219.666666666668
848,15,22729.0
848,16,20666.0
848,17,20383.666666666668
848,18,20600.333333333332
848,20,20592.666666666668
848,22,21237.0
848,24,23153.333333333332
848,30,24344.666666666668
848,39,26254.666666666668
848,67,20925.333333333332
848,153,21247.0
848,155,22018.5
848,808,21459.0
848,813,21532.0
848,814,20818.0
848,815,21939.0
848,816,22096.5
849,1,24168.333333333332
849,2,24575.0
849,3,24560.5
849,4,24671.333333333332
849,10,25187.5
849,13,23775.333333333332
849,16,25684.666666666668
849,17,24416.0
849,18,24216.333333333332
849,20,26504.333333333332
849,22,24907.5
849,24,26074.0
849,30,28881.333333333332
849,67,25449.5
849,153,24407.0
849,155,29999.5
849,808,24526.0
849,813,24793.0
849,814,34458.0
849,815,25502.5
849,816,27085.0
849,817,26407.0
850,1,20627.0
850,3,20456.666666666668
850,4,20146.666666666668
850,5,21631.5
850,10,21752.0
850,13,20810.666666666668
850,16,20859.0
850,17,20687.666666666668
850,18,20952.0
850,20,20259.333333333332
850,24,22048.0
850,30,20332.333333333332
850,67,24127.5
850,153,21375.5
850,155,21074.5
850,808,21010.5
850,812,25556.0
850,813,21329.0
850,814,23105.5
850,815,24446.0
850,816,22175.0
850,817,23186.0
851,1,19866.666666666668
851,2,23402.5
851,3,21128.25
851,4,21539.0
851,5,21997.6
851,10,21254.666666666668
851,13,21760.25
851,15,23118.0
851,16,21447.5
851,17,20672.8
851,18,20965.666666666668
851,20,20321.666666666668
851,22,24514.4
851,24,23888.2
851,30,21009.5
851,67,21389.666666666668
851,153,22543.666666666668
851,155,22611.666666666668
851,808,23172.0
851,813,20770.0
851,814,21332.666666666668
851,815,19225.75
851,816,29643.0
851,817,22686.0
852,1,21895.0
