raceId,driverId,totalPitStops,totalPitTime,averagePitTime
841,1,2,46426,23213.0
841,2,2,48092,24046.0
841,3,1,23716,23716.0
841,4,3,72165,24055.0
841,5,1,24865,24865.0
841,10,1,23792,23792.0
841,13,3,72437,24145.666666666668
841,15,2,49747,24873.5
841,16,2,49849,24924.5
841,17,3,72176,24058.666666666668
841,18,3,62851,20950.333333333332
841,20,2,46639,23319.5
841,22,4,104700,26175.0
841,30,2,49009,24504.5
841,67,2,48442,24221.0
841,153,3,77709,25903.0
841,155,2,48256,24128.0
841,808,2,50218,25109.0
841,814,2,49195,24597.5
841,815,1,23438,23438.0
841,816,2,51705,25852.5
842,1,4,93011,23252.75
842,2,3,69723,23241.0
842,3,3,70070,23356.666666666668
842,4,4,98040,24510.0
842,5,2,52420,26210.0
842,10,2,49046,24523.0
842,13,3,74658,24886.0
842,15,1,25516,25516.0
842,16,3,76290,25430.0
842,17,4,88793,22198.25
842,18,3,67354,22451.333333333332
842,20,3,67225,22408.333333333332
842,22,2,57480,28740.0
842,24,3,93192,31064.0
842,30,3,67064,22354.666666666668
842,67,3,80562,26854.0
842,153,2,46472,23236.0
842,155,2,46722,23361.0
842,808,3,74556,24852.0
842,814,3,69169,23056.333333333332
842,815,1,23597,23597.0
842,816,2,50668,25334.0
843,1,3,61978,20659.333333333332
843,2,2,44037,22018.5
843,3,3,63496,21165.333333333332
843,4,2,43775,21887.5
843,5,2,44375,22187.5
843,10,3,78418,26139.333333333332
843,13,2,42792,21396.0
843,15,2,45289,22644.5
843,16,3,70755,23585.0
843,17,3,65665,21888.333333333332
843,18,3,65774,21924.666666666668
843,20,2,43528,21764.0
843,22,2,43190,21595.0
843,24,3,62126,20708.666666666668
843,30,3,63886,21295.333333333332
843,39,1,26049,26049.0
843,67,3,68660,22886.666666666668
843,153,1,22419,22419.0
843,155,2,43791,21895.5
843,808,2,43986,21993.0
843,813,3,72842,24280.666666666668
843,814,2,43207,21603.5
843,815,4,87615,21903.75
843,816,2,45703,22851.5
844,1,4,99637,24909.25
844,2,4,86975,21743.75
844,3,4,84757,21189.25
844,4,4,86121,21530.25
844,5,3,67601,22533.666666666668
844,13,4,93500,23375.0
844,15,3,68147,22715.666666666668
844,16,3,63739,21246.333333333332
844,17,4,84401,21100.25
844,18,3,65424,21808.0
844,20,4,81609,20402.25
844,22,3,67272,22424.0
844,24,4,149973,37493.25
844,30,4,92065,23016.25
844,39,3,76789,25596.333333333332
844,67,3,65929,21976.333333333332
844,153,4,88456,22114.0
844,155,3,67731,22577.0
844,808,4,86245,21561.25
844,813,4,82188,20547.0
844,814,4,83995,20998.75
844,815,4,96245,24061.25
844,816,2,47616,23808.0
845,1,4,81457,20364.25
845,2,3,64071,21357.0
845,3,3,60576,20192.0
845,4,4,81923,20480.75
845,5,3,64894,21631.333333333332
845,10,3,65546,21848.666666666668
845,13,3,64854,21618.0
845,15,3,67088,22362.666666666668
845,16,3,64270,21423.333333333332
845,17,4,81223,20305.75
845,18,3,60885,20295.0
845,20,4,80858,20214.5
845,22,4,92449,23112.25
845,24,1,23157,23157.0
845,30,3,61022,20340.666666666668
845,39,3,73589,24529.666666666668
845,67,3,66382,22127.333333333332
845,153,4,85775,21443.75
845,155,3,66499,22166.333333333332
845,808,3,67827,22609.0
845,813,4,91161,22790.25
845,814,3,60769,20256.333333333332
845,815,3,66564,22188.0
845,816,3,67866,22622.0
846,1,3,77769,25923.0
846,2,2,52132,26066.0
846,3,3,75615,25205.0
846,4,2,56734,28367.0
846,5,2,52355,26177.5
846,10,1,26827,26827.0
846,13,1,26615,26615.0
846,15,2,51660,25830.0
846,16,2,52916,26458.0
846,17,2,64004,32002.0
846,18,3,76371,25457.0
846,20,1,28536,28536.0
846,22,2,51596,25798.0
846,24,1,28298,28298.0
846,30,1,35084,35084.0
846,39,2,68242,34121.0
846,67,2,51118,25559.0
846,153,2,53457,26728.5
846,155,1,28642,28642.0
846,808,1,28856,28856.0
846,813,2,52155,26077.5
846,814,3,91556,30518.666666666668
846,816,2,54041,27020.5
847,2,2,46477,23238.5
847,3,4,91528,22882.0
847,4,3,76370,25456.666666666668
847,5,1,44037,44037.0
847,10,2,49504,24752.0
847,13,4,98534,24633.5
847,15,3,100156,33385.333333333336
847,16,4,93989,23497.25
847,17,3,74718,24906.0
847,18,6,141067,23511.166666666668
847,20,3,69356,23118.666666666668
847,22,4,96114,24028.5
847,24,3,95377,31792.333333333332
847,30,4,94369,23592.25
847,37,2,54327,27163.5
847,39,2,58655,29327.5
847,67,4,99129,24782.25
847,153,3,74246,24748.666666666668
847,155,2,48305,24152.5
