raceId,driverId,milliseconds
841,1,46426
841,2,48092
841,3,23716
841,4,72165
841,5,24865
841,10,23792
841,13,72437
841,15,49747
841,16,49849
841,17,72176
841,18,62851
841,20,46639
841,22,104700
841,30,49009
841,67,48442
841,153,77709
841,155,48256
841,808,50218
841,814,49195
841,815,23438
841,816,51705
842,1,93011
842,2,69723
842,3,70070
842,4,98040
842,5,52420
842,10,49046
842,13,74658
842,15,25516
842,16,76290
842,17,88793
842,18,67354
842,20,67225
842,22,57480
842,24,93192
842,30,67064
842,67,80562
842,153,46472
842,155,46722
842,808,74556
842,814,69169
842,815,23597
842,816,50668
843,1,61978
843,2,44037
843,3,63496
843,4,43775
843,5,44375
843,10,78418
843,13,42792
843,15,45289
843,16,70755
843,17,65665
843,18,65774
843,20,43528
843,22,43190
843,24,62126
843,30,63886
843,39,26049
843,67,68660
843,153,22419
843,155,43791
843,808,43986
843,813,72842
843,814,43207
843,815,87615
843,816,45703
844,1,99637
844,2,86975
844,3,84757
844,4,86121
844,5,67601
844,13,93500
844,15,68147
844,16,63739
844,17,84401
844,18,65424
844,20,81609
844,22,67272
844,24,149973
844,30,92065
844,39,76789
844,67,65929
844,153,88456
844,155,67731
844,808,86245
844,813,82188
844,814,83995
844,815,96245
844,816,47616
845,1,81457
845,2,64071
845,3,60576
845,4,81923
845,5,64894
845,10,65546
845,13,64854
845,15,67088
845,16,64270
845,17,81223
845,18,60885
845,20,80858
845,22,92449
845,24,23157
845,30,61022
845,39,73589
845,67,66382
845,153,85775
845,155,66499
845,808,67827
845,813,91161
845,814,60769
845,815,66564
845,816,67866
846,1,77769
846,2,52132
846,3,75615
846,4,56734
846,5,52355
846,10,26827
846,13,26615
846,15,51660
846,16,52916
846,17,64004
846,18,76371
846,20,28536
846,22,51596
846,24,28298
846,30,35084
846,39,68242
846,67,51118
846,153,53457
846,155,28642
846,808,28856
846,813,52155
846,814,91556
846,816,54041
847,2,46477
847,3,91528
847,4,76370
847,5,44037
847,10,49504
847,13,98534
847,15,100156
847,16,93989
847,17,74718
847,18,141067
847,20,69356
847,22,96114
847,24,95377
847,30,94369
847,37,54327
847,39,58655
847,67,99129
847,153,74246
847,155,48305
847,808,47961
847,813,127508
847,814,88776
847,816,124547
848,1,61587
848,2,65871
848,3,65497
848,4,62164
848,5,66999
848,10,43930
848,13,66659
848,15,45458
848,16,61998
848,17,61151
848,18,61801
848,20,61778
848,22,63711
848,24,69460
848,30,73034
848,39,78764
848,67,62776
848,153,42494
848,155,44037
848,808,64377
848,813,64596
848,814,62454
848,815,21939
848,816,44193
849,1,72505
849,2,49150
849,3,49121
849,4,74014
849,10,50375
849,13,71326
849,16,77054
849,17,73248
849,18,72649
849,20,79513
849,22,49815
849,24,52148
849,30,86644
849,67,50899
849,153,48814
849,155,59999
849,808,49052
849,813,74379
849,814,103374
849,815,51005
849,816,54170
849,817,52814
850,1,61881
850,3,61370
850,4,60440
850,5,43263
850,10,43504
850,13,62432
850,16,41718
850,17,62063
850,18,20952
850,20,60778
850,24,22048
850,30,60997
850,67,48255
850,153,42751
850,155,42149
850,808,42021
850,812,76668
850,813,42658
850,814,46211
850,815,48892
850,816,44350
850,817,46372
851,1,119200
851,2,46805
851,3,84513
851,4,86156
851,5,109988
851,10,63764
851,13,87041
851,15,23118
851,16,85790
851,17,103364
851,18,62897
851,20,60965
851,22,122572
851,24,119441
851,30,42019
851,67,64169
851,153,67631
851,155,67835
851,808,92688
851,813,103850
851,814,63998
851,815,76903
851,816,118572
851,817,68058
852,1,21895
852,3,44261
852,4,42237
852,5,72854
852,10,94931
852,13,65608
852,15,43643
852,16,43756
852,17,41962
852,18,69442
852,20,63095
852,22,91049
852,24,52725
852,30,61698
852,155,45430
852,808,43374
852,811,65519
852,813,43724
852,814,42684
852,815,64064
852,816,45053
852,817,23780
853,1,43959
853,4,44528
853,5,45909
853,10,47931
853,13,43969
853,15,53811
853,18,43755
853,20,43502
853,22,52571
853,30,44723
853,67,48320
853,153,44267
853,155,50489
853,811,67952
853,813,45677
853,814,44939
853,817,1035495
854,1,148522
854,3,89227
854,4,90980
854,5,95030
854,13,124102
854,15,95533
854,16,64136
854,17,92079
854,18,90395
854,20,91628
854,22,61000
854,24,141058
854,30,59083
854,67,96960
854,153,87083
854,155,117650
854,808,91917
854,811,134073
854,813,91552
854,814,60468
854,815,64154
854,816,63355
854,817,112010
855,1,65204
855,3,62049
855,4,63197
855,5,65463
855,10,70166
855,13,63627
855,15,66025
855,16,64687
855,17,64644
855,18,62805
855,20,65675
855,22,66756
855,24,75591
855,30,64116
855,67,21849
855,153,44376
855,155,46562
855,808,42136
855,811,48393
855,813,63426
855,814,65481
855,815,46116
855,816,69540
855,817,69805
856,1,41430
856,3,40863
856,4,41617
856,5,44620
856,10,45014
856,13,44722
856,15,45292
856,16,46736
856,17,41628
856,18,41524
856,20,40155
856,22,44069
856,24,72015
856,30,20238
856,67,44090
856,153,44626
856,155,68673
856,808,21478
856,811,43056
856,813,57588
856,814,43135
856,815,64581
856,816,49317
856,817,45311
857,1,71895
857,3,44127
857,4,43628
857,5,44227
857,10,27378
857,13,64386
857,15,87778
857,16,43401
857,17,42632
857,18,42930
857,20,42864
857,22,55989
857,30,42375
857,39,47651
857,67,22579
857,153,45940
857,808,49656
857,811,43867
857,814,66659
857,815,47465
857,816,45159
857,817,96077
858,1,38789
858,3,39692
858,4,41525
858,5,41798
858,10,42353
858,13,40506
858,15,41615
858,16,40970
858,17,64707
858,18,41209
858,22,44753
858,24,21247
858,30,40298
858,153,64937
858,155,42941
858,808,40706
858,811,54171
858,813,33098
858,814,20216
858,815,44633
858,817,44885
859,1,62176
859,3,41431
859,4,62189
859,5,66345
859,10,22452
859,13,42749
859,15,44171
859,16,63135
859,17,62526
859,18,64626
859,20,63673
859,22,65765
859,24,45662
859,30,67636
859,67,44878
859,153,44628
859,155,46348
859,808,66052
859,811,81346
859,813,21561
859,814,42512
859,815,43558
859,816,45401
859,817,46377
860,1,46326
860,3,46220
860,4,43945
860,5,77865
860,8,48191
860,10,51368
860,13,66944
860,17,46217
860,18,46112
860,20,48387
860,155,49508
860,808,24579
860,811,79264
860,813,46593
860,814,49512
860,815,23882
860,817,79924
860,818,46772
860,819,91375
861,1,78570
861,3,97080
861,4,70051
861,5,115691
861,8,77570
861,10,76146
861,13,98518
861,17,74101
861,18,133730
861,20,98597
861,30,71088
861,37,83054
861,39,64576
861,155,78039
861,807,70763
861,808,84412
861,811,106079
861,813,94539
861,814,69019
861,815,74734
861,817,96267
861,818,47559
861,819,98083
862,1,61771
862,3,41758
862,4,60456
862,5,83067
862,8,42927
862,10,42842
862,13,40301
862,17,61322
862,18,67655
862,20,42595
862,30,21746
862,37,47122
862,39,48088
862,154,47019
862,155,64358
862,807,53434
862,808,43858
862,811,42507
862,813,42798
862,814,41393
862,815,45574
862,817,44202
862,818,68989
862,819,59866
863,1,82659
863,3,67019
863,4,68750
863,5,95182
863,8,67371
863,10,76004
863,13,67458
863,17,66590
863,18,91845
863,20,66534
863,30,66276
863,37,72181
863,39,101834
863,154,68905
863,155,73022
863,807,67419
863,808,69999
863,811,68511
863,813,45198
863,814,44552
863,815,69760
863,817,70619
863,818,68357
863,819,24020
864,1,41943
864,3,60758
864,4,59589
864,5,65131
864,8,61151
864,10,62653
864,13,75733
864,17,65112
864,18,61282
864,20,78847
864,30,20113
864,37,87424
864,39,44033
864,154,62473
864,155,63952
864,807,61594
864,808,69745
864,813,63667
864,814,61534
864,815,71450
864,817,61274
864,818,63493
864,819,42274
865,1,25748
865,3,24874
865,4,25220
865,5,57359
865,8,26380
865,10,62070
865,13,24993
865,17,25566
865,18,25219
865,20,25079
865,30,25117
865,39,54279
865,155,28390
865,807,26447
865,808,39391
865,811,26410
865,814,25642
865,815,45343
865,817,25335
865,818,52220
865,819,27186
866,1,43905
866,3,42401
866,4,21133
866,5,43437
866,8,21534
